Date,Time,Flight Number,Airlines Name,Airport Name,Terminal,Boarding info,Status
04/04/2024,08:00,CZ352,China Southern Airlines,Guangzhou (CAN),T1,Check-In Row 3,Check Gate at 04:00
04/04/2024,08:00,SQ132,Singapore Airlines,Penang (PEN),T2,Check-In Row 5,Check Gate at 04:00
04/04/2024,08:00,SQ600,Singapore Airlines,Seoul (ICN),T2,Check-In Row 5,Check Gate at 04:00
04/04/2024,08:00,SQ632,Singapore Airlines,Tokyo (Haneda) (HND),T2,Check-In Row 5,Check Gate at 04:00
04/04/2024,08:00,SQ850,Singapore Airlines,Guangzhou (CAN),T3,Check-In Row 3,Check Gate at 04:00
04/04/2024,08:00,TG402,Thai Airways,Bangkok (Suvarnabhumi) (BKK),T1,Check-In Row 9,Check Gate at 04:00
04/04/2024,08:05,JL712,Japan Airlines,Tokyo (Narita) (NRT),T1,Check-In Row 1,Check Gate at 04:05
04/04/2024,08:10,SQ726,Singapore Airlines,Phuket (HKT),T2,Check-In Row 5,Check Gate at 04:10
04/04/2024,08:15,TR262,Scoot,Surabaya (SUB),T1,Check-In Row 8,Check Gate at 04:15
04/04/2024,08:15,TR274,Scoot,Jakarta (CGK),T1,Check-In Row 7,Check Gate at 04:15
04/04/2024,08:20,SQ876,Singapore Airlines,Taipei (TPE),T3,Check-In Row 3,Check Gate at 04:20
04/04/2024,08:20,SQ936,Singapore Airlines,Bali-Denpasar (DPS),T2,Check-In Row 5,Check Gate at 04:20
